population,group_axis,group_value,n_total,n_candidate,raw_rate,shrunk_rate,ci_low,ci_high,fisher_p,q_value,fleet_rate,population_n,small_population_warning,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
GAUGE_CORE,device_model,ThinkPad T1g Gen 8,6,0,0.0,0.0033,0.0,0.036,1.0,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad T14s 2-in-1 Gen 1,6,0,0.0,0.0033,0.0,0.036,1.0,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad Z13 Gen 2,6,0,0.0,0.0033,0.0,0.036,1.0,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad T14 Gen 1,6,0,0.0,0.0033,0.0,0.036,1.0,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad P16v Gen 1,6,0,0.0,0.0033,0.0,0.036,1.0,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad P14s Gen 6,6,0,0.0,0.0033,0.0,0.036,1.0,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad X12 Detachable Gen 2,6,0,0.0,0.0033,0.0,0.036,1.0,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad X13 2-in-1 Gen 5,7,0,0.0,0.0031,0.0,0.0343,1.0,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad X13 Gen 4,7,0,0.0,0.0031,0.0,0.0343,1.0,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad X13 Gen 6,7,0,0.0,0.0031,0.0,0.0343,1.0,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad T14s Gen 6 Qualcomm,7,0,0.0,0.0031,0.0,0.0343,1.0,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad P16 Gen 3,7,0,0.0,0.0031,0.0,0.0343,1.0,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad T14s Gen 5,7,0,0.0,0.0031,0.0,0.0343,1.0,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
