user_id,design_mwh
JMAYERSALMA-252_jmayersalman,54699.83018679453
JMAYERSALMA-HDJ_jmayersalman,56999.20350457985
JMAYERSALMA-TNQ_jmayersalman,54750.0
JMESTLER-5FS8KD_jmestler,57000.09993004897
JNICHOL-F5MCDZS_jnichol,74997.55930879625
JNUNEZ5-3000012_jnunez5,45000.0
JNUNEZ5-F4KXMXN_jnunez5,51511.212219694506
JNUNEZ5-F4ML5N5_jnunez5,57030.7328605201
JNUNEZ5-F4RX1S4_jnunez5,57030.72003101076
JNUNEZ5-F57YZZH_jnunez5,55102.448775612196
JNUNEZ5-F5801NF_jnunez5,55099.466278505584
JNUNEZ5-F588R5E_jnunez5,57030.27390677559
JNUNEZ5-F5HP4BE_jnunez5,99899.9399639784
JNUNEZ5-F5L9LW0_jnunez5,90000.0
JNUNEZ5-F626M4T_jnunez5,58000.999500249876
JNUNEZ5-W05SG98_jnunez5,90010.101010101
JNUNEZ5-W0KPY33_T1g,90000.0
JNUNEZ5-W0KPY33_jnunez5,90000.0
JN_jnunez5,58001.78589145748
JOSEPH_jmayersalman,75000.0
JOSHUA_jbowen2,54749.859471613265
JP2-E3-05_e3,57001.40028005601
JPIPER-PF689FNM_jpiper,58000.999500249876
JPROULX-F5GQ0BB_jproulx,85999.79812253962
JQUINTERO-A2BYW_jquintero,57170.45942464577
JUAN_jnunez5,58019.386429499355
JURAKAWA-3319AM_jurakawa,57049.06291034977
JXU9-PF3SLCZ3_jxu9,90001.02870075096
JYANGO-PF462GGQ_jyango,57051.08595900887
KANGYINGB-LFXB1_kangyingb,55100.34314235208
KARAI6-PF4PTTHT_karai6,57029.43044674995
KATIE_kjackson,54748.711966559735
KAYLEY_Kayle,57030.26174953781
KAZUK_PR2,57000.0
KCHAUHAN1-Y538L_kchauhan1,75000.0
KCHEON-PF5A9YHM_kcheon,58000.20038072337
KDARDEN-F4CFJD9_kdarden,52500.50010002
KGU-PF5DEB5C_kgu,75000.0
KGUO1-PF4R03CL_kguo1,57998.99949974987
KGUO1-PF4Z3832_kguo1,52500.50010002
KGUO1-PF55Q5S3_kguo1,87381.39489386677
KGUO1-PF5GR16K_kguo1,58000.6004202942
KGUO1-PF62LBME_kguo1,75000.0
KGUO1-PW09S0X5_kguo1,57000.0
KHORINOUCHI-42K_khorinouchi,50500.29429075927
KILLEBREW,54731.10959836624
KINOUE4XF49VR0W_kinoue4,57050.952135872365
KIRRO-ALLOYSIT7_Kirro,55100.154083204936
KIWAO-PF4KXHHL_kiwao,51510.86407276402
KIWAO_kiwao,58000.999500249876
KKITTS-PF58LF52_kkitts,56998.99295065458
KMAKI-PF45ET63_kmaki,57000.0
KMAKI-PF4WSHXN_kmaki,57029.99771009846
KMORIGUCHI-SY92_kmoriguchi,57050.29013539651
KSAMBDMA-62KJHP_ksambdma,75000.0
KSERDAR-W0A2BP3_kserdar,57000.0
KSHIBATAX3Y83N9_KSHIBATA,57000.0
KSHIBAYAMA-TB38_kshibayama,57030.500671398426
KTAKEDA5-3ZPVTQ_ktakeda5,57053.184204519515
KTATE2-PW0A2BTJ_ktate2,57169.937555753786
KURADA-32000014_kurada,90000.99990000999
KURADA-3_kurada,42220.49236158412
KURADA-4_kurada,42220.678706092476
KWATAMURA-BLXLJ_kwatamura,51000.0
L13G4-A-CGBETA_cgridley,46000.0
L13_jboxer,46000.8038585209
L14G5I_Richard,46499.80445834963
